timestamp,gpu_util%,vram_used_mb,vram_total_mb,ram_used_gb,ram_total_gb
00:15:12,65,2338,4096,10.5,15.2
00:17:12,68,2338,4096,10.5,15.2
00:19:12,56,2338,4096,10.6,15.2
00:21:12,54,2338,4096,10.6,15.2
00:23:12,68,2338,4096,10.6,15.2
00:25:12,65,2338,4096,10.6,15.2
00:27:12,66,2338,4096,10.6,15.2
00:29:12,60,2338,4096,10.6,15.2
00:31:12,67,2338,4096,10.6,15.2
00:33:12,62,2338,4096,10.6,15.2
00:35:12,68,2338,4096,10.6,15.2
00:37:12,64,2338,4096,10.6,15.2
00:39:12,65,2338,4096,10.6,15.2
00:41:12,51,2338,4096,10.6,15.2
00:43:12,0,2254,4096,9.2,15.2
00:45:12,89,2290,4096,9.4,15.2
00:47:12,84,2314,4096,10.2,15.2
00:49:12,87,2316,4096,10.4,15.2
00:51:12,83,2316,4096,10.4,15.2
00:53:12,86,2316,4096,10.4,15.2
00:55:13,87,2316,4096,10.3,15.2
00:57:13,89,2316,4096,10.4,15.2
00:59:13,86,2316,4096,10.4,15.2
01:01:13,88,2316,4096,10.4,15.2
01:03:13,86,2316,4096,10.4,15.2
01:05:13,85,2316,4096,10.4,15.2
01:07:13,86,2316,4096,10.4,15.2
01:09:13,86,2316,4096,10.4,15.2
01:11:13,88,2316,4096,10.4,15.2
01:13:13,88,2316,4096,10.4,15.2
01:15:13,88,2316,4096,10.4,15.2
01:17:13,88,2316,4096,10.4,15.2
01:19:13,89,2316,4096,10.4,15.2
01:21:13,89,2316,4096,10.4,15.2
01:23:13,87,2316,4096,10.4,15.2
01:25:13,78,2316,4096,10.4,15.2
01:27:13,89,2316,4096,10.4,15.2
01:29:13,88,2316,4096,10.4,15.2
01:31:13,88,2316,4096,10.4,15.2
01:33:13,86,2316,4096,10.4,15.2
01:35:13,86,2316,4096,10.4,15.2
01:37:13,86,2316,4096,10.5,15.2
01:39:13,82,2316,4096,10.4,15.2
01:41:13,88,2316,4096,10.5,15.2
01:43:13,88,2316,4096,10.4,15.2
01:45:13,88,2316,4096,10.5,15.2
01:47:13,86,2316,4096,10.4,15.2
01:49:13,86,2316,4096,10.5,15.2
01:51:13,84,2316,4096,10.4,15.2
01:53:13,89,2316,4096,10.4,15.2
01:55:13,88,2316,4096,10.4,15.2
01:57:13,88,2316,4096,10.4,15.2
01:59:14,88,2316,4096,10.4,15.2
02:01:14,85,2316,4096,10.5,15.2
02:03:14,81,2316,4096,10.5,15.2
02:05:14,88,2316,4096,10.5,15.2
02:07:14,87,2316,4096,10.5,15.2
02:09:14,85,2316,4096,10.4,15.2
02:11:14,85,2316,4096,10.5,15.2
02:13:14,87,2316,4096,10.5,15.2
02:15:14,89,2316,4096,10.5,15.2
02:17:14,85,2316,4096,10.5,15.2
02:19:14,87,2316,4096,10.5,15.2
02:21:16,16,12,4096,4.4,15.2
02:23:18,16,12,4096,4.4,15.2
02:25:20,16,12,4096,4.3,15.2
02:27:22,16,12,4096,4.3,15.2
02:29:24,16,12,4096,4.3,15.2
02:31:25,16,12,4096,4.3,15.2
02:33:27,16,12,4096,4.3,15.2
02:35:29,16,12,4096,4.3,15.2
02:37:31,16,12,4096,4.3,15.2
02:39:33,16,12,4096,4.3,15.2
02:41:35,16,12,4096,4.3,15.2
02:43:37,16,12,4096,4.3,15.2
02:45:39,16,12,4096,4.3,15.2
02:47:41,16,12,4096,4.3,15.2
02:49:43,16,12,4096,4.3,15.2
02:51:45,16,12,4096,4.4,15.2
02:53:47,16,12,4096,4.4,15.2
02:55:49,16,12,4096,4.4,15.2
02:57:50,16,12,4096,4.4,15.2
02:59:52,16,12,4096,4.4,15.2
03:01:54,16,12,4096,4.4,15.2
03:03:56,16,12,4096,4.4,15.2
03:05:58,16,12,4096,4.4,15.2
03:08:00,16,12,4096,4.4,15.2
03:10:02,16,12,4096,4.4,15.2
03:12:04,16,12,4096,4.4,15.2
03:14:06,16,12,4096,4.4,15.2
03:16:08,16,12,4096,4.4,15.2
03:18:10,16,12,4096,4.4,15.2
03:20:12,16,12,4096,4.4,15.2
03:22:14,16,12,4096,4.4,15.2
03:24:16,16,12,4096,4.4,15.2
03:26:16,0,12,4096,4.4,15.2
03:28:18,16,12,4096,4.4,15.2
03:30:19,16,12,4096,4.4,15.2
03:32:21,16,12,4096,4.4,15.2
03:34:23,16,12,4096,4.4,15.2
03:36:25,16,12,4096,4.4,15.2
03:38:27,16,12,4096,4.4,15.2
03:40:29,16,12,4096,4.4,15.2
03:42:31,16,12,4096,4.4,15.2
03:44:33,16,12,4096,4.4,15.2
03:46:35,16,12,4096,4.4,15.2
03:48:37,16,12,4096,4.4,15.2
03:50:39,16,12,4096,4.4,15.2
03:52:41,16,12,4096,4.4,15.2
03:54:43,16,12,4096,4.4,15.2
03:56:45,16,12,4096,4.5,15.2
03:58:46,16,12,4096,4.5,15.2
04:00:48,16,12,4096,4.4,15.2
04:02:50,16,12,4096,4.5,15.2
04:04:52,16,12,4096,4.5,15.2
04:06:54,16,12,4096,4.4,15.2
04:08:56,16,12,4096,4.4,15.2
04:10:58,16,12,4096,4.5,15.2
04:13:00,16,12,4096,4.5,15.2
04:15:02,16,12,4096,4.4,15.2
04:17:04,16,12,4096,4.4,15.2
04:19:06,16,12,4096,4.5,15.2
04:21:08,16,12,4096,4.5,15.2
04:23:10,16,12,4096,4.5,15.2
04:25:12,16,12,4096,4.5,15.2
04:27:13,16,12,4096,4.5,15.2
04:29:15,16,12,4096,4.5,15.2
04:31:17,16,12,4096,4.5,15.2
04:33:19,16,12,4096,4.5,15.2
04:35:21,16,12,4096,4.5,15.2
04:37:23,16,12,4096,4.5,15.2
04:39:25,16,12,4096,4.5,15.2
04:41:27,16,12,4096,4.5,15.2
04:43:29,16,12,4096,4.5,15.2
04:45:31,16,12,4096,4.5,15.2
04:47:33,16,12,4096,4.5,15.2
04:49:35,16,12,4096,4.5,15.2
04:51:37,16,12,4096,4.5,15.2
04:53:39,16,12,4096,4.5,15.2
04:55:40,16,12,4096,4.5,15.2
04:57:42,16,12,4096,4.5,15.2
04:59:44,16,12,4096,4.5,15.2
05:01:46,16,12,4096,4.5,15.2
05:03:48,16,12,4096,4.5,15.2
05:05:50,16,12,4096,4.5,15.2
05:07:52,16,12,4096,4.5,15.2
05:09:54,16,12,4096,4.5,15.2
05:11:56,16,12,4096,4.5,15.2
05:13:58,16,12,4096,4.5,15.2
05:16:00,16,12,4096,4.5,15.2
05:18:02,16,12,4096,4.5,15.2
05:20:04,16,12,4096,4.5,15.2
05:22:06,16,12,4096,4.5,15.2
05:24:07,16,12,4096,4.5,15.2
05:26:09,16,12,4096,4.5,15.2
05:28:11,16,12,4096,4.5,15.2
05:30:13,16,12,4096,4.5,15.2
05:32:15,16,12,4096,4.5,15.2
05:34:17,16,12,4096,4.5,15.2
05:36:19,16,12,4096,4.5,15.2
05:38:21,16,12,4096,4.5,15.2
05:40:23,16,12,4096,4.5,15.2
05:42:25,16,12,4096,4.5,15.2
05:44:27,16,12,4096,4.5,15.2
05:46:29,16,12,4096,4.5,15.2
05:48:31,16,12,4096,4.5,15.2
05:50:33,16,12,4096,4.5,15.2
05:52:34,16,12,4096,4.5,15.2
05:54:36,16,12,4096,4.5,15.2
05:56:38,16,12,4096,4.5,15.2
05:58:40,16,12,4096,4.5,15.2
06:00:42,16,12,4096,4.6,15.2
06:02:44,16,12,4096,4.6,15.2
06:04:46,16,12,4096,4.6,15.2
06:06:48,16,12,4096,4.6,15.2
06:08:50,16,12,4096,4.6,15.2
06:10:52,16,12,4096,4.6,15.2
06:12:54,16,12,4096,4.6,15.2
06:14:56,16,12,4096,4.6,15.2
06:16:58,16,12,4096,4.6,15.2
06:19:00,16,12,4096,4.6,15.2
06:21:01,16,12,4096,4.6,15.2
06:23:03,16,12,4096,4.6,15.2
06:25:05,16,12,4096,4.6,15.2
06:27:07,16,12,4096,4.6,15.2
06:29:09,16,12,4096,4.6,15.2
06:31:11,16,12,4096,4.6,15.2
06:33:13,16,12,4096,4.6,15.2
06:35:15,16,12,4096,4.6,15.2
06:37:17,16,12,4096,4.6,15.2
06:39:19,16,12,4096,4.6,15.2
06:41:21,16,12,4096,4.6,15.2
06:43:23,16,12,4096,4.6,15.2
06:45:25,16,12,4096,4.6,15.2
06:47:27,16,12,4096,4.7,15.2
06:49:27,0,2236,4096,5.5,15.2
06:51:27,76,2286,4096,7.4,15.2
06:53:27,0,2290,4096,9.2,15.2
06:55:27,0,2324,4096,10.2,15.2
06:57:27,0,2326,4096,12.1,15.2
06:59:27,0,2330,4096,12.8,15.2
07:01:27,0,2360,4096,13.0,15.2
07:03:27,88,2364,4096,13.6,15.2
07:05:27,74,2368,4096,14.2,15.2
07:07:27,79,2374,4096,14.1,15.2
07:09:27,0,2376,4096,14.0,15.2
07:11:27,0,2376,4096,14.9,15.2
07:13:28,0,2376,4096,14.8,15.2
07:15:28,0,2376,4096,14.9,15.2
07:17:28,0,2376,4096,14.9,15.2
07:19:29,0,2376,4096,14.9,15.2
07:21:30,0,2376,4096,14.9,15.2
07:23:30,0,2376,4096,14.9,15.2
07:25:30,0,2376,4096,14.9,15.2
07:27:31,0,2376,4096,14.9,15.2
07:29:31,0,2376,4096,15.0,15.2
07:31:32,0,2376,4096,14.9,15.2
